IGM HI transmissions exp(-tau) (HeI and HeII not included!). Please
reference: Meiksin A., 2005, MNRAS, 365, 807 in any publications using these results.
-------------------------------------------------------------------------------------
lam (A)  z=1.5    z=2.0    z=2.5    z=3.0    z=3.5    z=4.0    z=4.5    z=5.0    z=5.5    z=6.0    z=6.5    z=7.0
1918.0 0.408307 0.159961 0.068904 0.031348 0.014753 0.007098 0.003468 0.001712 0.000852 0.000426 0.000214 0.000108
1919.0 0.408955 0.160061 0.068892 0.031320 0.014730 0.007083 0.003458 0.001706 0.000849 0.000424 0.000213 0.000107
1920.0 0.409605 0.160161 0.068880 0.031292 0.014707 0.007068 0.003449 0.001701 0.000845 0.000423 0.000212 0.000107
1921.0 0.410258 0.160261 0.068868 0.031264 0.014685 0.007053 0.003439 0.001695 0.000842 0.000421 0.000211 0.000106
1922.0 0.410913 0.160362 0.068856 0.031237 0.014662 0.007037 0.003430 0.001689 0.000839 0.000419 0.000210 0.000106
1923.0 0.411571 0.160464 0.068844 0.031209 0.014639 0.007022 0.003420 0.001684 0.000835 0.000417 0.000209 0.000105
1924.0 0.412231 0.160567 0.068833 0.031182 0.014617 0.007007 0.003411 0.001678 0.000832 0.000415 0.000208 0.000105
1925.0 0.412894 0.160669 0.068821 0.031154 0.014595 0.006992 0.003401 0.001673 0.000829 0.000413 0.000207 0.000104
1926.0 0.413560 0.160773 0.068810 0.031127 0.014572 0.006977 0.003392 0.001667 0.000826 0.000411 0.000206 0.000103
1927.0 0.414229 0.160877 0.068799 0.031100 0.014550 0.006962 0.003383 0.001662 0.000823 0.000410 0.000205 0.000103
1928.0 0.414900 0.160981 0.068789 0.031073 0.014528 0.006947 0.003374 0.001656 0.000819 0.000408 0.000204 0.000102
1929.0 0.415573 0.161086 0.068778 0.031046 0.014506 0.006932 0.003364 0.001651 0.000816 0.000406 0.000203 0.000102
